station fi la h
BAIA 47°39'06.42469" 23°33'27.75998" 270.857
BBYS 48°45'06.47617" 19°09'03.59454" 487.429
BOR1 52°16'37.03423" 17°04'24.42724" 124.354
CFRM 49°41'05.25415" 18°21'11.45796" 373.590
GANP 49°02'04.95876" 20°19'22.55259" 746.016
GOPE 49°54'49.32658" 14°47'08.22545" 592.615
GRAZ 47°04'01.65785" 15°29'36.51458" 538.301
JOZE 52°05'50.18003" 21°01'53.52310" 141.421
MOP2 48°22'21.69658" 17°16'25.78785" 581.109
OROS 46°33'18.80179" 20°40'16.84389" 146.014
PENC 47°47'22.56132" 19°16'53.48838" 291.739
SULP 49°50'08.10942" 24°00'52.14009" 370.513
TUBO 49°12'21.21021" 16°35'34.20400" 324.277
USDL 49°25'58.46020" 22°35'08.76506" 529.731
UZHL 48°37'55.11004" 22°17'51.41125" 232.005                                       
